Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld	Earnings (USD)
2025-06-01	2025-04	Apple Music	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	16	70	Song	GB	0	0.13713212
2025-06-01	2025-04	Apple Music	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	1	70	Song	IL	0	0.00486319
2025-06-01	2025-04	Apple Music	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	2	70	Song	IN	0	0.00206938
2025-06-01	2025-04	Apple Music	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	1	70	Song	MX	0	0.00129164
2025-06-01	2025-04	Apple Music	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	2	70	Song	PH	0	0.00423638
2025-06-01	2025-04	Apple Music	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	4	70	Song	PL	0	0.01200522
2025-06-01	2025-04	Apple Music	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	1	70	Song	RO	0	0.00374915
2025-06-01	2025-04	Apple Music	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	4	70	Song	RU	0	0.00562081
2025-06-01	2025-04	Apple Music	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	2	70	Song	SA	0	0.01434715
2025-06-01	2025-04	Apple Music	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	1	70	Song	TH	0	0.00123272
2025-06-01	2025-04	Apple Music	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	1	70	Song	UA	0	0.00274821
2025-06-01	2025-04	Apple Music	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	1	70	Song	MD	0	0.00170101
2025-06-01	2025-04	Apple Music	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	218	70	Song	US	0	0.93261052
2025-06-01	2025-04	Apple Music	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	5	70	Song	JM	0	0.02082861
2025-06-01	2025-04	Apple Music	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	2	70	Song	OM	0	0.01414707
2025-06-01	2025-04	Apple Music	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	1	70	Song	AR	0	0.00444782
2025-06-01	2025-04	Apple Music	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	5	70	Song	ZA	0	0.01252604
2025-06-01	2025-04	Tidal	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	1	70	Song	PL	0	0.00505498
2025-06-01	2025-04	Tidal	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	1	70	Song	CA	0	0.00258964
2025-06-01	2025-04	Tidal	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	5	70	Song	US	0	0.04714687
2025-06-04	2025-03	NetEase	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	1	70	Song	US	0	0.00029649
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	416	70	Song	GB	0	-0.43557421
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	4	70	Song	CR	0	-0.00177595
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	7	70	Song	DZ	0	-0.00042267
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	11	70	Song	MD	0	-0.00164135
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	3194	70	Song	US	0	-2.51236249
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	1	70	Song	EC	0	-0.00037480
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	17	70	Song	ZM	0	-0.00224016
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	9	70	Song	GT	0	-0.00289581
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	152	70	Song	IN	0	-0.01920196
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	2	70	Song	BO	0	-0.00061265
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	2	70	Song	UG	0	-0.00040011
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	3	70	Song	DJ	0	-0.00112366
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	3	70	Song	VE	0	-0.00135086
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	2	70	Song	BB	0	-0.00098920
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	1	70	Song	OM	0	-0.00060716
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	3	70	Song	UY	0	-0.00111490
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	13	70	Song	KW	0	-0.00721880
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	9	70	Song	KZ	0	-0.00256986
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	1	70	Song	AZ	0	-0.00000048
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	29	70	Song	KE	0	-0.00352759
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	15	70	Song	MW	0	-0.00109882
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	1	70	Song	CM	0	-0.00017610
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	1	70	Song	SZ	0	-0.00032079
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	2	70	Song	PA	0	-0.00111389
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	3	70	Song	DO	0	-0.00082827
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	37	70	Song	EG	0	-0.00716831
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	4	70	Song	LY	0	-0.00000000
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	2	70	Song	GD	0	-0.00108386
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	1	70	Song	BW	0	-0.00029522
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	1	70	Song	SN	0	-0.00024121
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	5	70	Song	TT	0	-0.00117586
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	20	70	Song	KR	0	-0.00954859
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	1	70	Song	NA	0	-0.00029981
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	6	70	Song	UZ	0	-0.00206003
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	7	70	Song	KH	0	-0.00134215
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	31	70	Song	MA	0	-0.00699769
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	1	70	Song	CV	0	-0.00028868
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	4	70	Song	GH	0	-0.00024521
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	1	70	Song	LR	0	-0.00031719
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	8	70	Song	BY	0	-0.00177807
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	1	70	Song	AM	0	-0.00047145
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	11	70	Song	JM	0	-0.00310077
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	2	70	Song	GE	0	-0.00046374
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	23	70	Song	FJ	0	-0.01259241
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	2	70	Song	ZW	0	-0.00044675
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	1	70	Song	QA	0	-0.00065429
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	115	70	Song	UA	0	-0.01829550
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	3	70	Song	IQ	0	-0.00102782
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	10	70	Song	TN	0	-0.00096597
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	5	70	Song	BH	0	-0.00257204
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	1	70	Song	SV	0	-0.00001216
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	118	70	Song	NG	0	-0.00619290
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	4	70	Song	JO	0	-0.00186386
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	4	70	Song	MZ	0	-0.00109133
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	1	70	Song	MU	0	-0.00038803
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	4	70	Song	SC	0	-0.00260831
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	10	70	Song	XK	0	-0.00198973
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	195	70	Song	PL	0	-0.07090437
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	77	70	Song	NZ	0	-0.05552608
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	82	70	Song	PT	0	-0.03431119
